"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-23","0.01",,"42","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-24","0.58",,"47","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-25","0.00",,"43","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-26","0.00",,"36","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-27","0.00",,"31","23"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-28","0.03",,"37","27"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-01","0.11",,"35","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-02","0.53",,"41","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-03","0.52",,"42","33"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-04","0.29",,"38","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-05","0.00",,"32","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-06","0.00",,"26","19"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-07","0.00",,"32","18"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-08","0.00",,"39","24"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-09","0.00",,"49","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-10","0.54",,"43","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-11","0.00",,"53","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-12","0.00",,"44","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-13","0.00",,"49","32"
